run_id,dap,obs_value,variable,units,date,year,doy,obs_type,valid
SC0072,106,0,stalk_dw,ton_ha,10/29/2014,2014,302,avg,1
SC0072,149,0.438571429,stalk_dw,ton_ha,12/11/2014,2014,345,avg,1
SC0072,182,7.200087094,stalk_dw,ton_ha,01/13/2015,2015,13,avg,1
SC0072,209,14.38416214,stalk_dw,ton_ha,02/09/2015,2015,40,avg,1
SC0072,244,28.57546667,stalk_dw,ton_ha,03/16/2015,2015,75,avg,1
SC0072,275,21.4992,stalk_dw,ton_ha,04/16/2015,2015,106,avg,1
SC0072,303,29.3328,stalk_dw,ton_ha,05/14/2015,2015,134,avg,1
SC0072,106,0,stalk_dw,ton_ha,10/29/2014,2014,302,std,1
SC0072,149,0.232070186,stalk_dw,ton_ha,12/11/2014,2014,345,std,1
SC0072,182,2.246160642,stalk_dw,ton_ha,01/13/2015,2015,13,std,1
SC0072,209,8.755037902,stalk_dw,ton_ha,02/09/2015,2015,40,std,1
SC0072,244,13.75914981,stalk_dw,ton_ha,03/16/2015,2015,75,std,1
SC0072,275,6.152672474,stalk_dw,ton_ha,04/16/2015,2015,106,std,1
SC0072,303,7.496328912,stalk_dw,ton_ha,05/14/2015,2015,134,std,1
SC0072,94,0.999948562,lai,m2_m2,10/17/2014,2014,290,avg,1
SC0072,122,3.060417658,lai,m2_m2,11/14/2014,2014,318,avg,1
SC0072,149,4.576361043,lai,m2_m2,12/11/2014,2014,345,avg,1
SC0072,182,4.437503781,lai,m2_m2,01/13/2015,2015,13,avg,1
SC0072,94,0.088,stalk_h,m_stalk,10/17/2014,2014,290,avg,1
SC0072,122,0.3985,stalk_h,m_stalk,11/14/2014,2014,318,avg,1
SC0072,149,0.84825,stalk_h,m_stalk,12/11/2014,2014,345,avg,1
SC0072,182,1.471,stalk_h,m_stalk,01/13/2015,2015,13,avg,1
SC0072,209,1.8935,stalk_h,m_stalk,02/09/2015,2015,40,avg,1
SC0072,244,2.18,stalk_h,m_stalk,03/16/2015,2015,75,avg,1
SC0072,94,0.036792448,stalk_h,m_stalk,10/17/2014,2014,290,std,1
SC0072,122,0.088035579,stalk_h,m_stalk,11/14/2014,2014,318,std,1
SC0072,149,0.22965234,stalk_h,m_stalk,12/11/2014,2014,345,std,1
SC0072,182,0.356383885,stalk_h,m_stalk,01/13/2015,2015,13,std,1
SC0072,209,0.421254705,stalk_h,m_stalk,02/09/2015,2015,40,std,1
SC0072,244,0.408442162,stalk_h,m_stalk,03/16/2015,2015,75,std,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
